Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load
0.82,514.5,294.0,110.25,7.0,5,0.4,3,32.61,30.07
0.98,514.5,294.0,110.25,7.0,4,0.0,0,28.065,30.45
0.79,661.5,416.5,122.5,7.0,5,0.1,3,37.092,33.88
0.86,588.0,294.0,147.0,7.0,3,0.1,0,26.064,30.85
0.76,661.5,416.5,122.5,7.0,4,0.1,1,35.661,34.68
0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.812,19.64
0.82,612.5,318.5,147.0,7.0,2,0.25,3,23.27,28.73
0.71,710.5,269.5,220.5,3.5,4,0.0,0,10.643,16.81
0.79,637.0,343.0,147.0,7.0,3,0.25,4,36.665,42.38
0.86,808.5,367.5,220.5,3.5,2,0.1,1,13.324,14.36
0.71,710.5,269.5,220.5,3.5,2,0.0,0,12.423,11.9
0.98,514.5,294.0,110.25,7.0,5,0.1,1,28.56,29.95
0.69,735.0,294.0,220.5,3.5,4,0.1,4,14.357,14.48
0.69,735.0,294.0,220.5,3.5,4,0.25,2,12.96,14.48
0.74,686.0,245.0,220.5,3.5,5,0.0,0,6.526,11.92
0.69,735.0,294.0,220.5,3.5,2,0.25,1,11.208,17.08
0.79,637.0,343.0,147.0,7.0,2,0.25,3,36.699,39.25
0.69,735.0,294.0,220.5,3.5,3,0.1,5,12.905,14.41
0.98,514.5,294.0,110.25,7.0,2,0.1,4,24.392,26.23
0.76,661.5,416.5,122.5,7.0,5,0.4,3,32.401,40.15
0.71,710.5,269.5,220.5,3.5,5,0.4,2,15.222,14.39
0.71,710.5,269.5,220.5,3.5,2,0.25,2,12.265,14.78
0.71,710.5,269.5,220.5,3.5,2,0.25,5,12.283,16.89
0.74,686.0,245.0,220.5,3.5,2,0.1,2,10.367,13.4
0.76,661.5,416.5,122.5,7.0,3,0.0,0,33.1,33.9
0.82,612.5,318.5,147.0,7.0,4,0.4,2,24.845,24.86
0.62,808.5,367.5,220.5,3.5,4,0.25,4,12.951,15.72
0.9,563.5,318.5,122.5,7.0,4,0.4,2,28.071,37.14
0.62,808.5,367.5,220.5,3.5,3,0.4,3,16.614,15.14
0.82,612.5,318.5,147.0,7.0,5,0.4,2,25.205,24.88
0.64,784.0,343.0,220.5,3.5,2,0.1,2,15.215,19.45
0.9,514.5,245.0,110.25,7.0,5,0.4,2,33.047,29.59
0.74,686.0,245.0,220.5,3.5,4,0.1,5,10.413,16.9
0.9,612.5,318.5,147.0,7.0,5,0.1,4,22.833,29.39
0.69,735.0,294.0,220.5,3.5,3,0.4,5,14.093,16.93
0.79,637.0,343.0,147.0,7.0,4,0.1,4,38.941,35.91
0.71,710.5,269.5,220.5,3.5,3,0.4,2,10.73,17.39
0.66,759.5,318.5,220.5,3.5,4,0.1,4,11.422,12.2
0.79,661.5,416.5,122.5,7.0,5,0.0,0,8.309,39.35
0.62,808.5,367.5,220.5,3.5,2,0.25,4,12.962,20.37
